ITERATION	avg. Average Leg distance	avg. Average Trip distance
0	44776.119402985074	44776.119402985074	
1	44776.119402985074	44776.119402985074	
2	44776.119402985074	44776.119402985074	
3	44776.119402985074	44776.119402985074	
4	44776.119402985074	44776.119402985074	
5	44776.119402985074	44776.119402985074	
6	44776.119402985074	44776.119402985074	
7	44776.119402985074	44776.119402985074	
8	44776.119402985074	44776.119402985074	
9	44776.119402985074	44776.119402985074	
10	44776.119402985074	44776.119402985074	
